TransactionId,UserId,Date,Amount,Category,Description,Merchant
d90e3ac6-2291-4918-b26e-20ce26e3f229,2eb32a09-8303-4b05-8711-59f778eb086d,2024-02-05T13:08:46,435.03,Shopping,Pariatur ut sunt ut aperiam.,Kiehn Inc
f2b2e63c-f8ff-4005-b9be-f8d9c9b5951e,facae899-3f31-4064-9a0c-f8bf61e11e1c,2024-03-09T22:30:25,601.08,Shopping,Veritatis minima rerum ut beatae.,Lowe  Parker and Thiel
62ee33b9-9d22-41f5-993e-10f177d0a76c,ca98df51-9b2d-4016-8590-915c14bac790,2024-08-20T16:28:30,-709.97,Transport,Id eius a at dolore.,Senger - Block
884a9589-0f8b-4df4-a248-c6fa2a2ba589,ccce2b75-25b7-4042-95ca-871d42e606a0,2024-04-25T14:57:42,4243.93,Salary,Neque sunt inventore unde perspiciatis.,Bins  Wiegand and Keebler
1525e921-043c-49c4-a372-83a4d55e2dde,a30a33b3-82d6-40ad-9262-dc4d6ca140b6,2024-07-29T13:12:17,-35.08,Utilities,Ut nihil et velit aliquam.,Fadel  Sipes and Mueller
992fea19-3bf9-43b2-abbc-64c366cd4ddc,82925d9e-88d2-4331-b17e-a47d0fb66580,2024-10-24T11:56:53,-230.4,Transport,Et aut molestiae aut voluptas.,Kuphal  Pfeffer and Gerhold
6f3ea2fc-9a33-4f2e-a528-435efcc3579d,567e43cb-2bbe-4b0a-9794-f56159d0f9a9,2024-05-29T06:07:59,-298.78,Shopping,Consectetur alias voluptas suscipit fugiat.,Brown  Nitzsche and VonRueden
36fd4749-166f-4de5-b8d5-1e2b0ce3a671,4cd255ba-2d4a-4269-8fae-75943c577de1,2024-06-06T08:38:14,565.27,Shopping,Cupiditate eos impedit corrupti suscipit.,Kuphal Inc
e12ac119-eaff-41b0-9bc5-10945b945d0a,9e1ac2ef-e6f8-4b2d-a845-a6a122e44b9f,2024-08-20T16:00:46,4531.43,Salary,Aliquam magni et quis commodi.,Barton - Mayer
83747f9e-d1da-415f-b9a4-15d3ecd69d4d,49fb89a3-bdf7-481d-838f-1f02237df0b7,2024-06-06T17:54:51,-345.04,Utilities,Ducimus autem architecto temporibus et.,McLaughlin - Beahan
8e9bb2a1-dbcd-436a-b7b8-9994d042ffef,32bb103e-d8fd-4be2-9502-52ead7cff02a,2024-09-20T20:13:21,-714.96,Shopping,Repellendus molestiae similique quae praesentium.,Homenick LLC
f56ff865-44ee-4ace-ab8e-866a3d3ca5ff,714b45e6-4c9b-4605-a6b1-51597fee2cc9,2024-11-13T07:01:13,-460.46,Shopping,Velit vitae rerum rem consequatur.,Hane - Mann
8d5866f4-5d16-4886-93b0-1f64780336d8,75035d48-c3b8-43b3-b02d-4e4a779e71aa,2024-06-26T17:19:15,842.13,Groceries,Ab voluptates illum est accusantium.,Windler - Sporer
32476d65-6d9a-4e12-8645-0d9316b24fea,b873de6a-2db2-4dfa-8517-6bc16bb07deb,2024-11-09T01:20:55,-54.24,Entertainment,A et ut temporibus dolor.,Gerhold  Abernathy and Roob
fdbd8063-1050-4924-bb2c-552886f05171,2b5ed1cd-0c90-4d59-8e79-b7b0f28c36fc,2024-05-22T22:37:06,537.4,Utilities,Voluptatem itaque velit amet consectetur.,Sporer - Konopelski
e01949e3-72bd-48be-88c1-4337cc94b730,00c85154-1bb4-42b2-af66-d81bc666a28f,2024-11-06T01:02:31,44.1,Entertainment,Non est labore consequatur itaque.,Rice - Kemmer
0f6a8518-54a7-4e70-b0b8-2199dc115180,8313784c-dafb-439b-b19c-4fdb98a7cc69,2024-05-23T03:35:22,27.02,Transport,Ex doloribus sequi sed maiores.,Morissette  Becker and Bechtelar
